,time,bid,ask,last,volume,time_msc,flags,volume_real
624,2023-11-14 05:30:00+05:30,105.625,105.721,103.974,4637024536568369512,27919,5,0.0
625,2023-11-15 05:30:00+05:30,104.088,104.502,103.954,4637040651010786198,28401,4,0.0
626,2023-11-16 05:30:00+05:30,104.311,104.546,103.993,4637043536129297482,27294,0,0.0
627,2023-11-17 05:30:00+05:30,104.357,104.54,103.773,4637002792626418614,27318,15,0.0
628,2023-11-19 05:30:00+05:30,103.825,103.897,103.813,4637011518350696645,1186,14,0.0
629,2023-11-20 05:30:00+05:30,103.894,103.96,103.363,4636979359834607452,28403,3,0.0
630,2023-11-21 05:30:00+05:30,103.44,103.699,103.165,4636984707859164955,29906,3,0.0
631,2023-11-22 05:30:00+05:30,103.517,104.205,103.465,4637009125813394604,28544,13,0.0
632,2023-11-23 05:30:00+05:30,103.868,103.873,103.485,4637001737095255949,19516,1,0.0
633,2023-11-24 05:30:00+05:30,103.763,103.831,103.323,4636973378491352351,21114,22,0.0
634,2023-11-26 05:30:00+05:30,103.394,103.434,103.367,4636978304303444787,1188,10,0.0
635,2023-11-27 05:30:00+05:30,103.431,103.52,103.13,4636957686261400732,26662,3,0.0
636,2023-11-28 05:30:00+05:30,103.137,103.311,102.591,4636920390826986570,29398,9,0.0
637,2023-11-29 05:30:00+05:30,102.602,103.007,102.452,4636934464575822103,31799,2,0.0
638,2023-11-30 05:30:00+05:30,102.809,103.581,102.706,4636978937622142386,32887,3,0.0
639,2023-12-01 05:30:00+05:30,103.44,103.719,103.102,4636961345436097970,30712,22,0.0
640,2023-12-03 05:30:00+05:30,103.202,103.205,103.025,4636955927042796290,2528,8,0.0
641,2023-12-04 05:30:00+05:30,103.106,103.842,103.105,4636991885471071076,32211,0,0.0
642,2023-12-05 05:30:00+05:30,103.618,104.081,103.523,4637015881212835660,32130,0,0.0
643,2023-12-06 05:30:00+05:30,103.964,104.221,103.852,4637028547586787639,28317,1,0.0
644,2023-12-07 05:30:00+05:30,104.142,104.19,103.236,4636994840958326538,34377,0,0.0
645,2023-12-08 05:30:00+05:30,103.667,104.281,103.422,4637016725637765792,34778,23,0.0
646,2023-12-10 05:30:00+05:30,103.986,104.008,103.923,4637015107156649705,1395,8,0.0
647,2023-12-11 05:30:00+05:30,103.944,104.255,103.912,4637022355137300005,27470,5,0.0
648,2023-12-12 05:30:00+05:30,104.053,104.086,103.455,4637000963039069995,29566,1,0.0
649,2023-12-13 05:30:00+05:30,103.753,104.02,102.759,4636939179281682006,31904,5,0.0
650,2023-12-14 05:30:00+05:30,102.874,102.898,101.756,4636875073355736154,40578,1,0.0
651,2023-12-15 05:30:00+05:30,101.964,102.635,101.826,4636917787183451996,33234,23,0.0
